""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"1769399_at"	1.22815582390217	1.25499679628583	1.32386446089744	1.15283573495166	1.2188371417439	1.21423286607852
"1769400_at"	1.41186928898949	1.614762904112	1.44828373770684	1.53071441166719	1.73173903963805	1.43868196118117
"1769401_at"	1.32442777083159	1.46504427845223	1.55195151937774	1.47732511176285	1.46504427845223	1.24398401219811
"1769402_at"	1.10966439135783	1.01467438564813	1.0828203690842	1.44365466581327	1.12176965205612	1.16071588513808
"1769403_at"	9.42920348146843	9.27668825179037	9.24828103741963	9.42379316039019	9.36930279352026	9.39201298321378
"1769404_at"	1.4680117307086	1.56042463890369	1.62393408793347	1.38094470387215	1.83196896161508	1.39191127745816
"1769405_at"	2.23058661724158	2.58345841775454	2.07900693485305	2.23058661724158	2.56012049890903	1.98151743321
"1769406_at"	5.40640503238751	7.81245482943358	7.97915669853248	5.55591144255899	7.63197014358798	5.48894030489416
"1769407_at"	6.47127756215206	6.69640832577687	6.53501026040893	6.59405082804443	6.54458210430519	6.40511262482281
"1769408_at"	1.54788129678953	2.07900693485305	2.05018983984578	1.79206189421109	2.2936187499196	1.69050920069548
"1769409_at"	1.80856609438784	2.11893047627134	2.11893047627134	2.01520575835026	2.18087355832634	2.03348875129279
"1769410_at"	1.57110080281905	1.91666938092839	1.80321494857303	1.46564512318547	1.48830007874383	1.68669710924051
"1769411_at"	10.9710716708639	8.82441778855326	8.84579844657265	10.966190841532	9.00940885226161	10.8625670317936
"1769412_at"	0.917895469714114	1.19000722974848	1.32094318262985	1.0480966673679	1.01467438564813	0.906486409892219
"1769413_at"	1.75834780078779	2.07900693485305	2.50720589231792	1.65837109057401	1.89853907185214	1.69050920069548
"1769414_at"	1.54312361738154	1.61261347619209	1.41040435424044	1.43430085373355	1.54367462979545	1.1800535463269
"1769415_at"	1.71918572657907	1.68971679266016	2.0077904486575	1.72663288839895	1.69050920069548	1.83703208802519
"1769416_at"	1.33585347505837	1.6799587770452	1.56796762081235	1.21962170945886	1.59769468926843	1.31387734718131
"1769417_at"	1.58137964407134	1.77248441117666	1.4380782088998	1.19214829528733	1.48830007874383	1.20857869847867
"1769418_at"	7.25338332456301	6.94925364577628	7.14708839507201	7.13311484920167	7.00196832169296	7.37553603000679
"1769419_at"	7.71362184295859	8.05669791226612	8.05298044304504	7.64620517419005	8.00069868627334	7.74298628609838
"1769420_at"	8.73145174862008	8.29913077142838	8.29462752323545	8.72823205026564	8.39215552927694	8.6141564938963
"1769421_at"	7.07584531985954	7.05938316122363	7.03967503396711	6.95647783112455	7.02690224990271	7.09691586437446
"1769422_at"	8.29316661914754	8.49664242387618	8.57082979508012	8.34315270876855	8.33062879780689	8.26870906823856
"1769423_at"	1.36367582173096	1.14355540605877	1.01772688930626	1.14355540605877	1.19554675042095	1.51992843940606
"1769424_at"	1.81232840282437	2.33073221998632	2.15868991076139	1.74342010383591	2.11171699343416	1.92303745917554
"1769425_at"	1.41235605695587	1.30064229456253	1.43432318734173	1.33406457628231	1.25434335111096	1.43246316196747
"1769426_at"	10.5361209648106	8.23676752438994	8.37845495656879	10.5659809614254	8.09137207133038	10.4804143916987
"1769427_at"	3.19837735484217	3.45104900373929	3.32022229274129	3.18099399303445	3.7311541882841	3.20059592983776
"1769428_at"	7.57169630181735	7.43833294316805	7.76299539991006	7.42952296496784	7.78102020913523	7.67971955244088
"1769430_at"	1.16641506498668	1.24148631534499	1.11979504504414	1.10323870880681	1.16560993597062	1.28514073766885
"1769431_at"	6.13032952793246	7.18397510757129	7.3122632684653	6.2868054565989	7.14132429366397	6.21826123199921
"1769432_at"	1.48830007874383	1.63683413898496	1.53444779934967	1.34092379672663	1.76800587244621	1.32442777083159
"1769433_at"	1.29415361830506	1.41571785128122	1.1349804540129	1.0780600009853	1.17231563870775	1.13813968262312
"1769434_at"	7.99290396832452	8.48045500771782	8.35641926566649	7.75205211713853	8.30450755993089	7.88141862292417
"1769435_at"	7.21238823856503	7.48173946512441	7.42397280887193	7.32903965364637	7.33193706093074	7.22341774769913
"1769436_at"	1.91218882493995	2.11203688587462	2.22626690307706	2.03678569642461	2.03678569642461	1.72484740081018
"1769437_at"	1.30991680190973	1.02141632688124	1.17787344135332	1.05864601255648	1.12828458523151	1.09488075796131
"1769438_at"	1.57491395602461	1.65370628184819	1.58523872151097	1.60806124162338	1.56241620139856	1.92849763126245
"1769439_at"	1.39056550372439	1.86249201150531	1.55711623083914	1.2706403505741	1.69518381370125	1.31142537515801
"1769440_at"	1.52920495206822	1.41062401922375	1.43760748258287	1.48812059497872	1.36107588075821	1.50734321341558
