F pVal sigma rank
1415708_at 5.59045795239735 0.00143683517503653 0.649527030573307 5101
1415709_s_at 1.63869445258225 0.187149513450277 0.255011949794152 22956
1415710_at 1.74971141049184 0.161925724081349 0.210098382566699 22086
1415711_at 17.0195796040749 9.4298656809913e-08 0.369489342132597 655
1415712_at 3.81079497350183 0.0115343808339733 0.233649907793187 9091
1415713_a_at 5.52295164623207 0.00154912394827408 0.194115234499268 5192
1415714_a_at 3.15544343367498 0.0261518898194222 0.431292175504333 11992
1415715_at 1.50990319847508 0.221201249798887 0.354857840810759 23913
1415716_a_at 15.4076284383514 2.77066296266343e-07 0.255184786400138 792
1415717_at 3.23422719808368 0.0236685389715417 0.279756720167705 11592
1415718_at 2.17953499043431 0.092254131991022 0.416605553221258 18692
1415719_s_at 4.29070758434767 0.00644415764742151 0.426731909867495 7648
1415720_s_at 1.59366159679195 0.198437071871867 0.130904390907347 23292
1415721_a_at 2.65536544700501 0.0496472610539575 0.215452741752273 15115
1415722_a_at 1.64309129224509 0.18608140140716 0.451947989008589 22918
1415723_at 1.28760579404992 0.294230724313777 0.298329205955519 25415
1415724_a_at 1.50642125807449 0.222199824234104 1.00440245990867 23939
1415725_at 0.345902678086827 0.84499672835742 0.550011082298584 29630
1415726_at 3.15509634410717 0.0261634083448667 0.431683736332845 11995
1415727_at 3.6397034459717 0.0142460379962486 0.515140770717541 9731
1415728_at 0.356766658676892 0.837508640363824 0.374029192958082 29608
1415729_at 2.4425273867286 0.0654452204301324 0.257935587563897 16639
1415730_at 3.82944614265957 0.0112731931012156 0.48862802159454 9013
1415731_at 5.01996286506594 0.00273892682483506 0.250059794319867 6044
1415732_at 1.60847308423882 0.194653701728367 0.190009727194614 23173
1415733_a_at 2.02129808939825 0.113490444965401 0.196075563433158 19859
1415734_at 0.113151825982137 0.97703440803009 0.403343114565288 29913
1415735_at 2.33181838748544 0.0756055862728065 0.540627389488089 17482
1415736_at 2.33215315504623 0.075572560050875 0.737918061610678 17480
1415737_at 0.625269315079539 0.647698646903323 0.343858931556132 28872
1415738_at 2.52340990724164 0.0589108780432846 0.450480109196302 16058
1415739_at 2.01425538430855 0.114542170084732 0.764822917454116 19923
1415740_at 2.1992720476439 0.0899026188542231 0.480900141847111 18537
1415741_at 0.805390566694363 0.53035978142173 0.344150081158416 28147
1415742_at 7.26606255058545 0.000242672483955882 0.295979752103859 3428
1415743_at 13.2579761460101 1.30598479553086e-06 0.194974408469376 1125
1415744_at 3.96742848580784 0.00952267805550861 0.590876084529495 8585
1415745_a_at 5.19260259108003 0.00224818819065637 0.283448627576127 5732
1415746_at 4.78515325776803 0.00359389181026186 0.255963210082946 6476
1415747_s_at 2.30532049370223 0.078266738545378 0.33188154795009 17711
1415748_a_at 0.734288884238737 0.574994040265216 0.34094047048094 28438
1415749_a_at 1.18961822355555 0.333014834413054 0.385160102583132 26081
1415750_at 2.27483922579351 0.0814457150423444 0.179732454643286 17953
1415751_at 1.22865680930677 0.317041247856105 0.398253991312879 25831
1415752_at 3.55023745252304 0.0159208061229196 0.855716157573253 10076
1415754_at 5.82808719220497 0.00110501516476356 0.328945824669089 4786
1415755_a_at 2.16781658299153 0.0936795577791719 0.291248022678757 18781
1415756_a_at 2.05695892694502 0.108311658146455 0.615416674537113 19605
1415757_at 1.60144515841271 0.196440102435408 0.240233296536317 23219
1415758_at 7.03359401775978 0.000307536780503119 0.539734057607241 3615
1415759_a_at 2.48360752173487 0.0620388233891169 0.596233089096549 16339
1415760_s_at 4.34025843635327 0.00607345015344352 0.353706189940918 7489
1415761_at 5.53615909314197 0.0015264502399526 0.578723956707537 5174
1415762_x_at 6.440598184037 0.000570723519792103 0.51494152601056 4145
1415763_a_at 1.54622326773462 0.211037874813091 0.55812619286669 23650
1415764_at 0.505808398558713 0.731708400263051 0.585272460432897 29254
1415765_at 2.94255950177996 0.0343036206068647 0.45557727773386 13223
1415766_at 0.339904831076834 0.849105412227824 0.497198429564439 29641
1415767_at 2.43770381336693 0.0658575143029458 0.986076195664139 16686
1415768_a_at 8.04844641829673 0.000111747499186913 0.418270972089191 2879
1415769_at 3.23313642136919 0.0237011995980077 0.452434253429679 11595
1415770_at 2.12230847512846 0.0994289122030677 0.462610716931815 19108
1415771_at 2.01389476967031 0.114596284350721 0.562444796077316 19928
1415772_at 7.29989020112954 0.000234509303071694 0.247167954838728 3407
1415773_at 0.505829596343544 0.7316932581072 0.273377011736939 29253
1415774_at 7.20282520203006 0.000258746793362419 0.164346105314159 3471
1415775_at 1.27313040888325 0.299689093220058 0.496669586391414 25520
1415776_at 0.899927409444764 0.474848116143222 0.460956374168483 27677
1415778_at 2.09848692763019 0.102578785505162 0.546163254366465 19282
1415779_s_at 12.144592109064 3.08908910212105e-06 0.355624303103687 1353
1415780_a_at 6.66721207951949 0.000449525542405476 0.491093736773662 3936
1415781_a_at 3.97803765503012 0.00940040059646531 0.178795867359606 8559
1415782_at 0.839810679010122 0.509628437098332 0.374465903267686 27971
1415783_at 0.529557763338612 0.714775968137177 0.414345350948869 29180
1415784_at 2.89471723505076 0.0364725060917756 0.212366778556472 13541
1415785_a_at 2.69941194957534 0.0468989777769386 0.629603428688223 14813
1415786_at 3.06037856433344 0.0295115347067522 0.177462793472961 12514
1415787_at 2.85518166040237 0.0383712727731026 0.507987800608663 13799
1415788_at 1.82033773014291 0.147646980430135 0.44845205752584 21531
1415790_at 4.49824292026913 0.0050334712318369 0.178875437858046 7109
1415791_at 4.83716976116845 0.00338292841819298 0.333399632762321 6373
1415792_at 1.05994033685782 0.391296365434259 0.179491232142315 26819
1415793_at 2.64946649812961 0.0500276696394919 0.233295845828151 15155
1415794_a_at 9.28959406982863 3.48286133039408e-05 0.414614215873264 2236
1415795_at 5.31112094566348 0.00196540697519823 0.235906748997753 5524
1415796_at 4.75992287418665 0.00370114463611155 0.407167437891332 6532
1415797_at 8.11786315642299 0.000104481286693691 0.164463242362041 2832
1415798_at 3.33132356519705 0.02094030102687 0.128119062682682 11067
1415799_at 1.37889865701869 0.261863807021964 0.302528485880103 24833
1415800_at 1.07354099606505 0.384795856159892 0.712105907154408 26735
1415801_at 1.14590223979619 0.351750526538674 0.197875832437984 26343
1415802_at 47.8385236521075 1.67857080961302e-13 0.596927740971364 57
1415803_at 2.16999037972019 0.0934134690204984 0.328934469924028 18761
1415804_at 1.64363141225681 0.185950600589074 0.22696555679351 22916
1415805_at 2.39646584941491 0.0694921346579357 0.234807249308302 17000
1415807_s_at 4.30580612195107 0.00632875613075192 0.171909233794656 7593
1415808_at 1.70798960375871 0.170989321874116 0.271377178488173 22417
1415810_at 25.9102051873809 6.55146269437631e-10 0.644999771594644 263
1415811_at 1.84303422502938 0.143327667328407 0.189449176683929 21337
1415813_at 0.284078529396185 0.88625153336816 0.310090627847717 29749
1415814_at 1.96272015380046 0.122540588251227 0.215080890343043 20382
1415815_at 1.32559820642201 0.280335785225687 0.22887102919374 25173
1415816_at 3.96294232813432 0.00957488228594348 0.35850638816783 8600
1415817_s_at 3.16010689757927 0.0259976360256164 0.690700589707182 11964
1415819_a_at 2.78478845484729 0.0420079825774659 0.489310442391753 14225
1415820_x_at 10.832171835695 9.02796546062632e-06 0.262393135510488 1666
1415821_at 8.92461357654216 4.86899221068984e-05 0.661936288633645 2408
1415822_at 3.40463472263923 0.0190978589862746 0.773291066160862 10692
1415823_at 3.82647189317256 0.0113144271188482 0.623296937646088 9027
1415825_s_at 1.9731947579742 0.120870948857397 0.639769697845648 20276
1415826_at 1.2694053121147 0.301108642796264 0.531220520684808 25552
1415827_a_at 2.02624568260442 0.112757380197151 0.809540120968679 19828
1415828_a_at 7.62201274037522 0.000169833503609263 0.172730194416104 3162
1415829_at 1.83296942594513 0.145227439744981 0.790331470655448 21424
1415830_at 2.8395649645278 0.0391490819227788 0.353552110816814 13897
1415831_at 1.24106291318492 0.312111391796238 0.393046593930033 25755
1415833_x_at 13.7902294277267 8.7806513441093e-07 0.419063957935225 1023
1415834_at 9.94723083289679 1.93409536935443e-05 0.594366700518185 1978
1415835_at 3.04180282701019 0.0302185332357844 0.182181838183353 12633
1415836_at 5.95963852918237 0.000956967131716671 0.243456269907231 4633
1415838_at 1.51544977043985 0.21961941513887 0.780307409862648 23876
1415839_a_at 4.38549012406258 0.00575451959003562 0.512865671963908 7394
1415840_at 0.478004824947546 0.751596259175372 1.34513184177005 29325
1415841_at 3.23000577891452 0.0237951986119851 0.57675506904046 11612
1415842_at 2.09787382194376 0.102661166401479 0.162905621746576 19285
1415843_at 0.798684504043465 0.534466748558164 0.18638975214824 28179
1415844_at 4.30322958238584 0.00634829517511804 0.751966973198632 7600
1415845_at 2.37042857711415 0.07189153404063 0.498564025161136 17196
1415847_at 3.60314143538959 0.0149071512901406 0.216707985178987 9860
1415849_s_at 25.9059953355656 6.56485922759876e-10 0.469133610539487 264
1415850_at 2.43453639794789 0.0661296873096983 0.313124386310809 16705
1415851_a_at 6.4377161684867 0.000572470037011329 0.91582083968381 4149
1415852_at 3.77101422699348 0.0121127624998453 0.346796224494341 9240
1415853_at 2.34096650314215 0.0747083362886954 0.233405438538813 17409
1415858_at 4.12146312275583 0.00789915866480057 0.410935244546004 8104
1415859_at 2.30069477829918 0.0787409468353628 0.492230255012408 17751
1415860_at 4.43567760812748 0.00542106524257037 0.605504516963354 7261
1415861_at 6.50776241772349 0.000531571492605987 0.319125349111251 4088
1415863_at 3.43583116431881 0.0183656678169829 0.38873386440074 10544
1415864_at 4.78246680228554 0.00360515513154823 0.554843316231913 6483
1415865_s_at 4.45548538440116 0.00529508304664997 0.832173096161363 7215
1415866_at 3.8749739801948 0.0106612022870365 0.127381445128501 8867
1415867_at 1.09991369945903 0.372453803422604 0.329593019986057 26588
1415868_at 3.10687177874799 0.0278159556001441 0.398855936113667 12252
1415869_a_at 7.34902629720038 0.0002231638164826 0.671194244042135 3361
1415870_at 1.13145998980728 0.358141218358397 1.00531374393246 26428
1415871_at 2.29784544441147 0.0790344975086787 0.205086660561666 17779
1415872_at 0.952538630284642 0.445927155039721 0.659442918462307 27415
1415873_a_at 1.13346794256965 0.35724665599116 0.546491780616609 26415
1415875_at 0.945988250722047 0.44945033815142 0.333612088712766 27448
1415876_a_at 16.1722729742801 1.64778279735606e-07 0.543499429854439 716
1415877_at 4.92626842985507 0.00305120040041458 0.357613669711751 6221
1415878_at 12.8394443642659 1.79610096437184e-06 0.304043641998144 1205
1415879_a_at 2.84281336425247 0.0389859646972191 0.879034762364594 13876
1415880_a_at 0.833857370258442 0.513172059524672 0.393997627216333 28001
1415881_at 4.23829042010819 0.00686217494018723 0.488212886970634 7772
1415882_at 3.08834691528579 0.0284791406974021 0.217495385346583 12362
1415884_at 2.9779493462576 0.0327851719350781 0.17762878213763 13020
1415885_at 1.13628841961005 0.355993408812287 0.697714308888481 26397
1415886_at 1.67339906599459 0.178878382875014 0.126670607293487 22682
1415887_at 0.299382343929853 0.876293588221199 0.494006532124336 29715
1415888_at 5.36396689450424 0.00185160511010736 0.164869126222932 5442
1415889_a_at 4.56661322729324 0.0046429046818686 0.517126075175146 6943
1415890_at 1.17193124845971 0.340485782836854 0.411852342977391 26189
1415891_at 2.6686443250011 0.0488017542898476 0.377498368019178 15028
1415892_at 18.0375363512458 4.93519320328119e-08 0.255131992326332 578
1415894_at 2.93695763785629 0.0345505473169275 0.355191320945191 13256
1415895_at 2.98689188314825 0.0324125745675359 0.486379144026239 12964
1415896_x_at 3.59465059191374 0.0150652019840348 0.336886965028157 9887
1415897_a_at 14.634328090239 4.76360251404501e-07 0.320359866092057 888
1415899_at 1.58764645611995 0.199993749094927 0.168336004776761 23339
1415901_at 1.32275932898532 0.281352754190235 0.158480546151266 25189
1415902_at 0.838333399338217 0.510506113318103 0.192427243972076 27978
1415903_at 1.11244567097178 0.366709645540076 0.244638782552095 26521
1415904_at 2.32212111955601 0.0765686492763504 0.527232489718042 17563
1415905_at 2.34594605946633 0.0742244932196867 0.334691148547383 17373
1415906_at 0.731584905768262 0.576737674332553 0.834643308369439 28453
1415907_at 5.15496750380307 0.00234667919697184 0.20125850104703 5801
1415908_at 1.11056687122093 0.367565890427351 0.73785549116364 26532
1415909_at 2.8681370528199 0.0377380980886282 0.327572088576371 13714
1415910_s_at 5.95624776348126 0.000960508848638236 0.229032888633118 4636
1415911_at 7.29638815200829 0.000235340808384411 0.71557996032718 3408
1415912_a_at 3.11910111891454 0.0273869196010694 0.920853206624845 12184
